FixtureKey,FixtureDate,KickoffTime,Tier,Country,League,HomeTeam,AwayTeam,PredictedResult,BestGoalsPick,BestCornersPick,BettingGrade,EnsembleConfidenceScore,ElitePrediction,SignalCount,Market,ModelProbability,BookmakerOdds,BookmakerImpliedProbability,ValueEdge,ValueEdgePercent,ValueRating,ValueScore,GeneratedAt
SP2_2026-05-24_Malaga_Santander,2026-05-24,17:30,Tier 2 - Europe Depth,Spain,La Liga 2,Malaga,Santander,Away Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.769,1,2,Over 2.5 Goals,0.857,1.36,0.7353,0.1217,12.17,Strong Value,47.18,2026-05-23 08:51:41
SP2_2026-05-24_Sp Gijon_Almeria,2026-05-24,17:30,Tier 2 - Europe Depth,Spain,La Liga 2,Sp Gijon,Almeria,Away Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.778,1,2,Over 2.5 Goals,0.783,1.53,0.6536,0.1294,12.94,Strong Value,45.52,2026-05-23 08:51:41
SP1_2026-05-23_Betis_Levante,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Betis,Levante,Home Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.735,1,2,Over 2.5 Goals,0.75,1.65,0.6061,0.1439,14.39,Strong Value,44.4,2026-05-23 08:51:41
B1_2026-05-24_Club Brugge_Gent,2026-05-24,17:30,Tier 1 - Elite Europe,Belgium,Belgian Pro League,Club Brugge,Gent,Home Win,Over 1.5 Goals,Over 7.5 Corners,A Tier,0.814,1,3,Home Win,0.688,1.72,0.5814,0.1066,10.66,Medium Value,42.25,2026-05-23 08:51:41
E0_2026-05-24_Nott'm Forest_Bournemouth,2026-05-24,16:00,Tier 1 - Elite Europe,England,Premier League,Nott'm Forest,Bournemouth,Home Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.726,1,2,Over 2.5 Goals,0.737,1.56,0.641,0.096,9.6,Medium Value,41.43,2026-05-23 08:51:41
SP2_2026-05-24_Huesca_Castellon,2026-05-24,17:30,Tier 2 - Europe Depth,Spain,La Liga 2,Huesca,Castellon,Away Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.778,1,2,Over 2.5 Goals,0.697,1.67,0.5988,0.0982,9.82,Medium Value,41.38,2026-05-23 08:51:41
SP1_2026-05-24_Villarreal_Ath Madrid,2026-05-24,20:00,Tier 1 - Elite Europe,Spain,La Liga,Villarreal,Ath Madrid,Home Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.742,1,2,Over 2.5 Goals,0.737,1.45,0.6897,0.0473,4.73,Small Value,39.32,2026-05-23 08:51:41
B1_2026-05-23_Antwerp_Westerlo,2026-05-23,19:45,Tier 1 - Elite Europe,Belgium,Belgian Pro League,Antwerp,Westerlo,Home Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.737,1,2,Over 2.5 Goals,0.723,1.5,0.6667,0.0563,5.63,Small Value,39.25,2026-05-23 08:51:41
SP2_2026-05-24_Malaga_Santander,2026-05-24,17:30,Tier 2 - Europe Depth,Spain,La Liga 2,Malaga,Santander,Away Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.769,1,2,Away Win,0.443,4.24,0.2358,0.2072,20.72,Strong Value,39.03,2026-05-23 08:51:41
E0_2026-05-24_Tottenham_Everton,2026-05-24,16:00,Tier 1 - Elite Europe,England,Premier League,Tottenham,Everton,Home Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.735,1,2,Over 2.5 Goals,0.663,1.73,0.578,0.085,8.5,Medium Value,38.84,2026-05-23 08:51:41
B1_2026-05-24_St Truiden_Mechelen,2026-05-24,17:30,Tier 1 - Elite Europe,Belgium,Belgian Pro League,St Truiden,Mechelen,Home Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.751,1,2,Over 2.5 Goals,0.697,1.53,0.6536,0.0434,4.34,Small Value,38.1,2026-05-23 08:51:41
SP1_2026-05-23_Alaves_Vallecano,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Alaves,Vallecano,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.696,1,2,Over 2.5 Goals,0.623,1.94,0.5155,0.1075,10.75,Medium Value,37.98,2026-05-23 08:51:41
SP1_2026-05-23_Getafe_Osasuna,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Getafe,Osasuna,Home Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.642,0,2,Over 2.5 Goals,0.537,2.68,0.3731,0.1639,16.39,Strong Value,37.15,2026-05-23 08:51:41
SP2_2026-05-24_Mirandes_Granada,2026-05-24,17:30,Tier 2 - Europe Depth,Spain,La Liga 2,Mirandes,Granada,Home Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.698,1,2,Over 2.5 Goals,0.657,1.7,0.5882,0.0688,6.88,Small Value,37.11,2026-05-23 08:51:41
I1_2026-05-24_Napoli_Udinese,2026-05-24,17:00,Tier 1 - Elite Europe,Italy,Serie A,Napoli,Udinese,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.692,1,2,Over 2.5 Goals,0.623,1.87,0.5348,0.0882,8.82,Medium Value,36.94,2026-05-23 08:51:41
I1_2026-05-24_Napoli_Udinese,2026-05-24,17:00,Tier 1 - Elite Europe,Italy,Serie A,Napoli,Udinese,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.692,1,2,Away Win,0.378,6.72,0.1488,0.2292,22.92,Strong Value,36.64,2026-05-23 08:51:41
I1_2026-05-23_Bologna_Inter,2026-05-23,17:00,Tier 1 - Elite Europe,Italy,Serie A,Bologna,Inter,Away Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.725,1,2,Over 2.5 Goals,0.677,1.55,0.6452,0.0318,3.18,Small Value,36.4,2026-05-23 08:51:41
I1_2026-05-24_Milan_Cagliari,2026-05-24,19:45,Tier 1 - Elite Europe,Italy,Serie A,Milan,Cagliari,Away Win,Over 1.5 Goals,Over 7.5 Corners,Avoid,0.588,0,2,Away Win,0.368,10.35,0.0966,0.2714,27.14,Strong Value,36.37,2026-05-23 08:51:41
B1_2026-05-24_St. Gilloise_Anderlecht,2026-05-24,17:30,Tier 1 - Elite Europe,Belgium,Belgian Pro League,St. Gilloise,Anderlecht,Home Win,Over 1.5 Goals,Over 7.5 Corners,B Tier,0.707,1,2,Over 2.5 Goals,0.643,1.7,0.5882,0.0548,5.48,Small Value,36.17,2026-05-23 08:51:41
E0_2026-05-24_Sunderland_Chelsea,2026-05-24,16:00,Tier 1 - Elite Europe,England,Premier League,Sunderland,Chelsea,Home Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.693,1,2,Home Win,0.457,3.47,0.2882,0.1688,16.88,Strong Value,36.01,2026-05-23 08:51:41
SP1_2026-05-23_Celta_Sevilla,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Celta,Sevilla,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.663,1,2,Over 2.5 Goals,0.617,1.86,0.5376,0.0794,7.94,Medium Value,35.74,2026-05-23 08:51:41
SP1_2026-05-23_Valencia_Barcelona,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Valencia,Barcelona,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.629,0,2,Under 2.5 Goals,0.517,2.68,0.3731,0.1439,14.39,Strong Value,35.28,2026-05-23 08:51:41
SP2_2026-05-24_Eibar_Cordoba,2026-05-24,17:30,Tier 2 - Europe Depth,Spain,La Liga 2,Eibar,Cordoba,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.692,1,2,Away Win,0.412,4.29,0.2331,0.1789,17.89,Strong Value,35.14,2026-05-23 08:51:41
SP2_2026-05-24_Eibar_Cordoba,2026-05-24,17:30,Tier 2 - Europe Depth,Spain,La Liga 2,Eibar,Cordoba,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.692,1,2,Over 2.5 Goals,0.61,1.77,0.565,0.045,4.5,Small Value,34.39,2026-05-23 08:51:41
SP1_2026-05-23_Girona_Elche,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Girona,Elche,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.685,1,2,Over 2.5 Goals,0.637,1.65,0.6061,0.0309,3.09,Small Value,34.36,2026-05-23 08:51:41
SP1_2026-05-23_Celta_Sevilla,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Celta,Sevilla,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.663,1,2,Away Win,0.395,4.52,0.2212,0.1738,17.38,Strong Value,33.8,2026-05-23 08:51:41
SP1_2026-05-23_Girona_Elche,2026-05-23,20:00,Tier 1 - Elite Europe,Spain,La Liga,Girona,Elche,Away Win,Over 1.5 Goals,Over 7.5 Corners,C Tier,0.685,1,2,Away Win,0.397,4.16,0.2404,0.1566,15.66,Strong Value,33.44,2026-05-23 08:51:41
