FixtureKey,LeagueCode,League,Country,Tier,FixtureDate,KickoffTime,FixtureDateTime,IsUpcoming,HomeTeam,AwayTeam,Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,AverageHomeOdds,AverageDrawOdds,AverageAwayOdds,MaxHomeOdds,MaxDrawOdds,MaxAwayOdds,Bet365Over25Odds,Bet365Under25Odds,AverageOver25Odds,AverageUnder25Odds,MaxOver25Odds,MaxUnder25Odds,SourceName,SourceUrl,IngestedAt
I1_2026-05-23_Bologna_Inter,I1,Serie A,Italy,Tier 1 - Elite Europe,2026-05-23,17:00,2026-05-23 17:00:00,True,Bologna,Inter,3.1,3.6,2.2,2.95,3.64,2.19,3.1,3.75,2.28,1.57,2.38,1.55,2.36,1.57,2.5,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
B1_2026-05-23_Antwerp_Westerlo,B1,Belgian Pro League,Belgium,Tier 1 - Elite Europe,2026-05-23,19:45,2026-05-23 19:45:00,True,Antwerp,Westerlo,1.91,3.7,3.5,1.88,3.77,3.42,1.92,4.0,3.65,1.53,2.4,1.5,2.44,1.53,2.5,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
B1_2026-05-23_Oud-Heverlee Leuven_Genk,B1,Belgian Pro League,Belgium,Tier 1 - Elite Europe,2026-05-23,19:45,2026-05-23 19:45:00,True,Oud-Heverlee Leuven,Genk,3.7,3.75,1.85,3.54,3.73,1.87,3.7,4.0,1.91,1.67,2.15,1.63,2.15,1.67,2.23,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
B1_2026-05-23_Standard_Charleroi,B1,Belgian Pro League,Belgium,Tier 1 - Elite Europe,2026-05-23,19:45,2026-05-23 19:45:00,True,Standard,Charleroi,2.1,3.4,3.2,2.03,3.35,3.4,2.1,3.45,3.6,1.9,1.9,1.85,1.86,1.91,1.91,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
I1_2026-05-23_Lazio_Pisa,I1,Serie A,Italy,Tier 1 - Elite Europe,2026-05-23,19:45,2026-05-23 19:45:00,True,Lazio,Pisa,1.55,4.2,6.0,1.52,4.16,5.76,1.55,4.5,6.6,1.8,2.0,1.76,2.0,1.8,2.05,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
SP1_2026-05-23_Alaves_Vallecano,SP1,La Liga,Spain,Tier 1 - Elite Europe,2026-05-23,20:00,2026-05-23 20:00:00,True,Alaves,Vallecano,2.45,3.4,2.8,2.41,3.31,2.82,2.5,3.5,2.9,1.98,1.88,1.94,1.79,2.0,1.88,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
SP1_2026-05-23_Betis_Levante,SP1,La Liga,Spain,Tier 1 - Elite Europe,2026-05-23,20:00,2026-05-23 20:00:00,True,Betis,Levante,2.25,3.2,3.4,2.19,3.26,3.26,2.25,3.5,3.5,1.73,2.1,1.65,2.15,1.73,2.2,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
SP1_2026-05-23_Celta_Sevilla,SP1,La Liga,Spain,Tier 1 - Elite Europe,2026-05-23,20:00,2026-05-23 20:00:00,True,Celta,Sevilla,1.73,3.8,4.75,1.74,3.68,4.52,1.8,3.8,4.85,1.91,1.91,1.86,1.87,1.91,1.91,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
SP1_2026-05-23_Espanol_Sociedad,SP1,La Liga,Spain,Tier 1 - Elite Europe,2026-05-23,20:00,2026-05-23 20:00:00,True,Espanol,Sociedad,2.45,3.5,2.75,2.4,3.41,2.76,2.5,3.55,2.85,1.85,2.0,1.8,1.93,1.85,2.0,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
SP1_2026-05-23_Getafe_Osasuna,SP1,La Liga,Spain,Tier 1 - Elite Europe,2026-05-23,20:00,2026-05-23 20:00:00,True,Getafe,Osasuna,2.45,2.88,3.4,2.41,2.77,3.38,2.5,2.88,3.66,2.75,1.44,2.68,1.43,2.75,1.5,football-data.co.uk fixtures,https://www.football-data.co.uk/fixtures.csv,2026-05-23 08:51:30
